% 1. Title: Ear Biometrics Database
% 
% 2. Sources:
%      (a) Creator: Hugh Pearse
%      (b) Donor: The West Pomeranian University of Technology
%      (c) Date: October 2013
% 
@RELATION ears

@ATTRIBUTE row1  NUMERIC
@ATTRIBUTE row2  NUMERIC
@ATTRIBUTE row3  NUMERIC
@ATTRIBUTE row4  NUMERIC
@ATTRIBUTE row5  NUMERIC
@ATTRIBUTE row6  NUMERIC
@ATTRIBUTE row7  NUMERIC
@ATTRIBUTE row8  NUMERIC
@ATTRIBUTE row9  NUMERIC
@ATTRIBUTE row10  NUMERIC
@ATTRIBUTE file string

@DATA
41,0,12,10,10,15,24,0,0,53,./ear-dataset/001F1W1L0V0I011000000001.JPG
7,5,14,21,62,34,0,13,13,13,./ear-dataset/001F1W1L0V1O011000100000.JPG
13,4,10,7,10,10,14,0,13,7,./ear-dataset/001F1W1L1V0I011000000001.JPG
13,2,0,5,1,14,17,19,19,15,./ear-dataset/001F1W1L1V1O011000100000.JPG
81,29,2,4,8,13,25,55,88,124,./ear-dataset/001F1W1R0V1O011000100000.JPG
21,8,1,2,5,6,5,1,6,31,./ear-dataset/001F1W1R1V1O011000100000.JPG
29,3,4,37,45,58,33,37,23,10,./ear-dataset/002F1W0L0V0O010000000001.JPG
34,25,22,24,25,22,25,19,2,8,./ear-dataset/002F1W0L0V1O021000000000.JPG
8,13,7,3,13,14,0,21,10,84,./ear-dataset/002F1W0L1V0O010000000021.JPG
22,4,0,16,27,30,23,0,37,122,./ear-dataset/002F1W0L1V1O021000000000.JPG
57,38,14,3,7,17,26,44,72,116,./ear-dataset/002F1W0R0V0O010000000001.JPG
48,46,45,4,1,0,3,8,15,37,./ear-dataset/002F1W0R0V1O021000000000.JPG
28,15,4,1,6,13,24,43,70,106,./ear-dataset/002F1W0R1V0O010000000001.JPG
51,31,18,11,7,4,7,0,8,24,./ear-dataset/002F1W0R1V1O021000000000.JPG
29,3,4,37,45,58,33,37,23,10,./ear-dataset/002F1W1L0V0O010000000001.JPG
34,25,22,24,25,22,25,19,2,8,./ear-dataset/002F1W1L0V1O021000000000.JPG
8,13,7,3,13,14,0,21,10,84,./ear-dataset/002F1W1L1V0O010000000021.JPG
22,4,0,16,27,30,23,0,37,122,./ear-dataset/002F1W1L1V1O021000000000.JPG
57,38,14,3,7,17,26,44,72,116,./ear-dataset/002F1W1R0V0O010000000001.JPG
48,46,45,4,1,0,3,8,15,37,./ear-dataset/002F1W1R0V1O021000000000.JPG
28,15,4,1,6,13,24,43,70,106,./ear-dataset/002F1W1R1V0O010000000001.JPG
51,31,18,11,7,4,7,0,8,24,./ear-dataset/002F1W1R1V1O021000000000.JPG
89,45,35,5,16,0,18,59,85,88,./ear-dataset/003M1W0L0V1O020000000000.JPG
12,12,1,1,28,26,31,22,29,14,./ear-dataset/003M1W0L0V1O021000000000.JPG
88,6,4,28,20,0,27,46,49,25,./ear-dataset/003M1W0L1V1O021000000000.JPG
25,6,3,1,3,9,25,51,72,83,./ear-dataset/003M1W0R0V1O010000000000.JPG
56,29,11,2,0,1,1,4,1,13,./ear-dataset/003M1W0R1V1O020000000000.JPG
89,45,35,5,16,0,18,59,85,88,./ear-dataset/003M1W1L0V1O020000000000.JPG
12,12,1,1,28,26,31,22,29,14,./ear-dataset/003M1W1L0V1O021000000000.JPG
88,6,4,28,20,0,27,46,49,25,./ear-dataset/003M1W1L1V1O021000000000.JPG
25,6,3,1,3,9,25,51,72,83,./ear-dataset/003M1W1R0V1O010000000000.JPG
56,29,11,2,0,1,1,4,1,13,./ear-dataset/003M1W1R1V1O020000000000.JPG
27,30,10,2,10,59,62,49,47,31,./ear-dataset/004M1W0L0V1O020000000000.JPG
23,8,20,37,0,8,13,13,2,22,./ear-dataset/004M1W0L1V1O020000000000.JPG
22,7,0,6,11,9,25,28,34,65,./ear-dataset/004M1W0R0V1O010000000000.JPG
46,21,6,1,2,4,7,10,70,83,./ear-dataset/004M1W0R1V0O010000000000.JPG
27,30,10,2,10,59,62,49,47,31,./ear-dataset/004M1W1L0V1O020000000000.JPG
23,8,20,37,0,8,13,13,2,22,./ear-dataset/004M1W1L1V1O020000000000.JPG
22,7,0,6,11,9,25,28,34,65,./ear-dataset/004M1W1R0V1O010000000000.JPG
46,21,6,1,2,4,7,10,70,83,./ear-dataset/004M1W1R1V0O010000000000.JPG
3,0,14,18,4,12,9,7,10,18,./ear-dataset/005M1W0L0V1O010000000000.JPG
7,2,7,2,16,7,2,1,1,10,./ear-dataset/005M1W0L1V1O010000000000.JPG
57,35,24,15,4,1,1,2,10,12,./ear-dataset/005M1W0R0V1O010000000000.JPG
16,8,2,1,1,6,10,14,24,40,./ear-dataset/005M1W0R1V1O010000000000.JPG
3,0,14,18,4,12,9,7,10,18,./ear-dataset/005M1W1L0V1O010000000000.JPG
7,2,7,2,16,7,2,1,1,10,./ear-dataset/005M1W1L1V1O010000000000.JPG
57,35,24,15,4,1,1,2,10,12,./ear-dataset/005M1W1R0V1O010000000000.JPG
16,8,2,1,1,6,10,14,24,40,./ear-dataset/005M1W1R1V1O010000000000.JPG
27,20,3,6,6,22,44,39,41,51,./ear-dataset/006M1W0L0V1O020000000000.JPG
55,29,19,13,4,5,0,5,4,0,./ear-dataset/006M1W0L1V1O020000000000.JPG
